"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"290",11,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-52"
"291",11,"Tyler Shough",NO,"QB34","11","5 out of 5 stars","-38"
"292",11,"Jordan James",SF,"RB88","14","3 out of 5 stars","+2"
"293",11,"Khalil Herbert",IND,"RB89","11","2 out of 5 stars","-"
"294",11,"Parker Washington",JAC,"WR102","8","4 out of 5 stars","+62"
"295",11,"Terrance Ferguson",LAR,"TE36","8","4 out of 5 stars","-4"
"296",11,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-68"
"297",11,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","+57"
"298",11,"Tim Patrick",DET,"WR103","8","3 out of 5 stars","-"
"299",11,"Emanuel Wilson",GB,"RB91","5","4 out of 5 stars","+50"
"300",11,"Sincere McCormick",LV,"RB92","8","2 out of 5 stars","-"
"301",11,"Luke McCaffrey",WAS,"WR104","12","3 out of 5 stars","-"
"302",11,"Damien Martinez",SEA,"RB93","8","3 out of 5 stars","+53"
"303",11,"Will Reichard",MIN,"K17","6","0 out of 5 stars","-66"
"304",11,"Taysom Hill",NO,"TE37","11","3 out of 5 stars","+5"
"305",11,"Tyler Loop",BAL,"K18","7","2 out of 5 stars","-103"
"306",11,"Christian Watson",GB,"WR105","5","2 out of 5 stars","+24"
"307",11,"Chris Brooks",GB,"RB94","5","4 out of 5 stars","-"
"308",12,"Phil Mafah",DAL,"RB95","10","2 out of 5 stars","+49"
"309",12,"Ty Chandler",MIN,"RB96","6","3 out of 5 stars","-"
"310",12,"Xavier Restrepo",TEN,"WR106","10","4 out of 5 stars","+9"
"311",12,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+33"
"312",12,"Ray-Ray McCloud III",ATL,"WR107","5","3 out of 5 stars","-26"
"313",12,"Jermaine Burton",CIN,"WR108","10","3 out of 5 stars","+37"
"314",12,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","+10"
"315",12,"Raheim Sanders",LAC,"RB97","12","2 out of 5 stars","-"
"316",12,"Amari Cooper",FA,"WR109","-","-","-27"
"317",12,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-81"
"318",12,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-25"
"319",12,"Troy Franklin",DEN,"WR110","12","3 out of 5 stars","-49"
"320",12,"Zamir White",LV,"RB98","8","2 out of 5 stars","-"
"321",12,"Tutu Atwell",LAR,"WR111","8","3 out of 5 stars","+11"
"322",12,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-130"
"323",12,"Samaje Perine",CIN,"RB99","10","4 out of 5 stars","-5"
"324",12,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-74"
"325",12,"Tez Johnson",TB,"WR112","9","3 out of 5 stars","-"
"326",12,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+8"
"327",12,"Will Dissly",LAC,"TE42","12","3 out of 5 stars","-"
"328",12,"Spencer Rattler",NO,"QB36","11","5 out of 5 stars","-47"
"329",12,"Josh Reynolds",NYJ,"WR113","9","4 out of 5 stars","-"
"330",12,"Jason Myers",SEA,"K19","8","5 out of 5 stars","-"
"331",12,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-30"
"332",12,"Miami Dolphins",MIA,"DST22","12","2 out of 5 stars","-97"
"333",12,"Jordan Whittington",LAR,"WR114","8","3 out of 5 stars","0"
"334",12,"A.J. Dillon",PHI,"RB100","9","3 out of 5 stars","-47"
"335",12,"Noah Brown",WAS,"WR115","12","3 out of 5 stars","-15"
"336",12,"Zack Moss",FA,"RB101","-","-","-44"
"337",12,"KaVontae Turpin",DAL,"WR116","10","2 out of 5 stars","-14"
"338",12,"Cam Akers",NO,"RB102","11","4 out of 5 stars","-"
"339",12,"Gabe Davis",FA,"WR117","-","-","-"
"340",12,"AJ Barner",SEA,"TE44","8","4 out of 5 stars","-"
"341",12,"Demarcus Robinson",SF,"WR118","14","4 out of 5 stars","0"
"342",12,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-54"
"343",12,"Michael Mayer",LV,"TE45","8","2 out of 5 stars","-"
"344",12,"Marquez Valdes-Scantling",SEA,"WR119","8","3 out of 5 stars","-4"
"345",12,"KeAndre Lambert-Smith",LAC,"WR120","12","3 out of 5 stars","-29"
"346",12,"Dawson Knox",BUF,"TE46","7","3 out of 5 stars","-"
"347",12,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-132"
"348",12,"John Metchie III",PHI,"WR121","9","3 out of 5 stars","-"
"349",12,"Jaylin Lane",WAS,"WR122","12","3 out of 5 stars","-"
"350",12,"Tai Felton",MIN,"WR123","6","2 out of 5 stars","+2"
"351",12,"Isaiah Bond",CLE,"WR124","9","2 out of 5 stars","-4"
"352",12,"Brandon McManus",GB,"K20","5","3 out of 5 stars","-122"
"353",12,"Cam Little",JAC,"K21","8","5 out of 5 stars","-157"
"354",12,"Olamide Zaccheaus",CHI,"WR125","5","2 out of 5 stars","-54"
"355",12,"Kalel Mullings",TEN,"RB103","10","2 out of 5 stars","-"
"356",12,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-71"
"357",12,"Austin Hooper",NE,"TE47","14","3 out of 5 stars","-"
"358",12,"Luke Musgrave",GB,"TE48","5","2 out of 5 stars","-"
"359",12,"Jake Moody",SF,"K22","14","5 out of 5 stars","-102"
"360",12,"Justin Tucker",FA,"K23","-","-","-"
"361",12,"Chimere Dike",TEN,"WR126","10","4 out of 5 stars","-"
"362",13,"Emari Demercado",ARI,"RB104","8","3 out of 5 stars","-"
"363",13,"Savion Williams",GB,"WR127","5","2 out of 5 stars","-"
"364",13,"Gunnar Helm",TEN,"TE49","10","3 out of 5 stars","-"
"365",13,"Gus Edwards",FA,"RB105","-","-","-"
"366",13,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-159"
"367",13,"Mack Hollins",NE,"WR128","14","3 out of 5 stars","-"
"368",13,"Curtis Samuel",BUF,"WR129","7","3 out of 5 stars","-"
"369",13,"LeQuint Allen Jr.",JAC,"RB106","8","2 out of 5 stars","-"
"370",13,"Allen Lazard",NYJ,"WR130","9","4 out of 5 stars","-"
"371",13,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-"
"372",13,"Greg Dortch",ARI,"WR131","8","4 out of 5 stars","-"
"373",13,"Donovan Edwards",NYJ,"RB107","9","5 out of 5 stars","-"
"374",13,"Zay Jones",ARI,"WR132","8","4 out of 5 stars","-"
"375",13,"Jahan Dotson",PHI,"WR133","9","3 out of 5 stars","-"
"376",13,"Foster Moreau",NO,"TE50","11","3 out of 5 stars","-"
"377",13,"Cade Stover",HOU,"TE51","6","3 out of 5 stars","-"
"378",13,"Tommy Tremble",CAR,"TE52","14","4 out of 5 stars","-"
"379",13,"Van Jefferson",TEN,"WR134","10","4 out of 5 stars","-"
"380",13,"Luke Schoonmaker",DAL,"TE53","10","2 out of 5 stars","-"
"381",13,"Josh Oliver",MIN,"TE54","6","3 out of 5 stars","-"
"382",13,"Hunter Renfrow",CAR,"WR135","14","4 out of 5 stars","-"
"383",13,"Atlanta Falcons",ATL,"DST25","5","3 out of 5 stars","-"
"384",13,"Jacob Cowing",SF,"WR136","14","4 out of 5 stars","-"
"385",13,"Trey Sermon",PIT,"RB108","5","4 out of 5 stars","-"
"386",13,"Dillon Gabriel",CLE,"QB40","9","2 out of 5 stars","-"
"387",13,"Jimmy Garoppolo",LAR,"QB41","8","3 out of 5 stars","-92"
"388",13,"Kenny Pickett",CLE,"QB42","9","2 out of 5 stars","-"
"389",13,"Kyle Juszczyk",SF,"RB109","14","3 out of 5 stars","-"
"390",13,"Craig Reynolds",DET,"RB110","8","2 out of 5 stars","-"
"391",13,"Indianapolis Colts",IND,"DST26","11","4 out of 5 stars","-74"
"392",13,"Grant Calcaterra",PHI,"TE55","9","3 out of 5 stars","-"
"393",13,"JuJu Smith-Schuster",KC,"WR137","10","3 out of 5 stars","-"
"394",13,"Tyrod Taylor",NYJ,"QB43","9","5 out of 5 stars","-"
"395",13,"Robert Woods",PIT,"WR138","5","4 out of 5 stars","-"
"396",13,"Pierre Strong Jr.",CLE,"RB111","9","4 out of 5 stars","-"
"397",13,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-139"
"398",13,"Eddy Pineiro",FA,"K24","-","-","-"
"399",13,"Jamari Thrash",CLE,"WR139","9","2 out of 5 stars","-"
"400",13,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","-"
"401",13,"Tank Dell",HOU,"WR140","6","4 out of 5 stars","-"
"402",13,"Arian Smith",NYJ,"WR141","9","4 out of 5 stars","-"
"403",13,"Chad Ryland",ARI,"K25","8","3 out of 5 stars","-"
"404",13,"Efton Chism III",NE,"WR142","14","3 out of 5 stars","-90"
"405",13,"Theo Wease Jr.",MIA,"WR143","12","3 out of 5 stars","-"
"406",13,"Stone Smartt",NYJ,"TE57","9","3 out of 5 stars","-"
"407",13,"Jeremy McNichols",WAS,"RB112","12","2 out of 5 stars","-"
"408",13,"Mason Rudolph",PIT,"QB44","5","4 out of 5 stars","-"
"409",13,"Mitchell Evans",CAR,"TE58","14","4 out of 5 stars","-"
"410",13,"Clyde Edwards-Helaire",NO,"RB113","11","4 out of 5 stars","-"
"411",13,"Devontez Walker",BAL,"WR144","7","3 out of 5 stars","-"
"412",13,"Antwane Wells Jr.",NYG,"WR145","14","2 out of 5 stars","-"
"413",13,"Jonathon Brooks",CAR,"RB114","14","3 out of 5 stars","-"
"414",13,"Kendrick Bourne",NE,"WR146","14","3 out of 5 stars","-"
"415",13,"Elijah Higgins",ARI,"TE59","8","5 out of 5 stars","-"
"416",13,"Tyler Goodson",IND,"RB115","11","2 out of 5 stars","-"
"417",13,"Jordan Watkins",SF,"WR147","14","4 out of 5 stars","-"
"418",13,"Greg Dulcich",NYG,"TE60","14","2 out of 5 stars","-"
"419",13,"Joe Milton III",DAL,"QB45","10","2 out of 5 stars","-"
"420",13,"Ja'Quinden Jackson",JAC,"RB116","8","2 out of 5 stars","-"
"421",13,"Matt Prater",FA,"K26","-","-","-"
"422",13,"Malik Willis",GB,"QB46","5","2 out of 5 stars","-"
"423",13,"Jalin Hyatt",NYG,"WR148","14","2 out of 5 stars","-"
"424",13,"Aidan O'Connell",LV,"QB47","8","3 out of 5 stars","-"
"425",13,"Darnell Washington",PIT,"TE61","5","3 out of 5 stars","-"
"426",13,"Jacksonville Jaguars",JAC,"DST28","8","4 out of 5 stars","-101"
"427",13,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-105"
"428",13,"Carson Steele",KC,"RB117","10","2 out of 5 stars","-"
"429",13,"Dare Ogunbowale",HOU,"RB118","6","2 out of 5 stars","-"
"430",13,"Marcus Mariota",WAS,"QB48","12","2 out of 5 stars","-"
"431",13,"KhaDarel Hodge",ATL,"WR149","5","3 out of 5 stars","-"
"432",13,"Blake Grupe",NO,"K27","11","5 out of 5 stars","-"
"433",13,"Jonathan Mingo",DAL,"WR150","10","2 out of 5 stars","-"
"434",13,"Tyler Johnson",NYJ,"WR151","9","4 out of 5 stars","-"
"435",14,"Tennessee Titans",TEN,"DST30","10","5 out of 5 stars","-157"
"436",14,"New Orleans Saints",NO,"DST31","11","4 out of 5 stars","-110"
"437",14,"Sam Howell",MIN,"QB49","6","2 out of 5 stars","-"
"438",14,"Cairo Santos",CHI,"K28","5","1 out of 5 stars","-"
"439",14,"Alec Ingold",MIA,"RB119","12","4 out of 5 stars","-"
"440",14,"Julius Chestnut",TEN,"RB120","10","2 out of 5 stars","-"
"441",14,"Zach Wilson",MIA,"QB50","12","5 out of 5 stars","-"
"442",14,"Malachi Corley",NYJ,"WR152","9","4 out of 5 stars","-"
"443",14,"Xavier Hutchinson",HOU,"WR153","6","4 out of 5 stars","-"
"444",14,"Carolina Panthers",CAR,"DST32","14","3 out of 5 stars","-"
"445",14,"Graham Gano",NYG,"K29","14","0 out of 5 stars","-"
"446",14,"Jimmy Horn Jr.",CAR,"WR154","14","4 out of 5 stars","-"
"447",14,"Spencer Shrader",IND,"K30","11","5 out of 5 stars","-"
"448",14,"Kalif Raymond",DET,"WR155","8","3 out of 5 stars","-"
"449",14,"D'Ernest Johnson",BAL,"RB121","7","4 out of 5 stars","-"
"450",14,"Jake Browning",CIN,"QB51","10","2 out of 5 stars","-"
"451",14,"Jake Bobo",SEA,"WR156","8","3 out of 5 stars","-"
"452",14,"Chris Tyree",NO,"RB122","11","4 out of 5 stars","-"
"453",14,"Cooper Rush",BAL,"QB52","7","3 out of 5 stars","-"
"454",14,"George Holani",SEA,"RB123","8","3 out of 5 stars","-"
"455",14,"Colby Parkinson",LAR,"TE62","8","4 out of 5 stars","-"
"456",14,"Tyquan Thornton",KC,"WR157","10","3 out of 5 stars","-"
"457",14,"Daniel Bellinger",NYG,"TE63","14","2 out of 5 stars","-"
"458",14,"Jacoby Brissett",ARI,"QB53","8","4 out of 5 stars","-"
"459",14,"Gardner Minshew II",KC,"QB54","10","3 out of 5 stars","-"
"460",14,"Josh Whyle",TEN,"TE64","10","3 out of 5 stars","-"
"461",14,"Michael Gallup",WAS,"WR158","12","3 out of 5 stars","-"
"462",14,"Deshaun Watson",CLE,"QB55","9","2 out of 5 stars","-"
"463",14,"Lucky Jackson",MIN,"WR159","6","2 out of 5 stars","-"
"464",14,"Johnny Mundt",JAC,"TE65","8","3 out of 5 stars","-"
"465",14,"Cordarrelle Patterson",FA,"RB124","-","-","-"
"466",14,"Javon Baker",NE,"WR160","14","3 out of 5 stars","-"
"467",14,"Casey Washington",ATL,"WR161","5","3 out of 5 stars","-"
"468",14,"Tanner Hudson",CIN,"TE66","10","2 out of 5 stars","-"
"469",14,"Tanner McKee",PHI,"QB56","9","3 out of 5 stars","-133"
"470",14,"Andrew Beck",NYJ,"TE67","9","3 out of 5 stars","-"
"471",14,"Deuce Vaughn",DAL,"RB125","10","2 out of 5 stars","-"
"472",14,"Carlos Washington Jr.",ATL,"RB126","5","4 out of 5 stars","-"
"473",14,"Jake Haener",NO,"QB57","11","5 out of 5 stars","-"
"474",14,"Tyler Badie",DEN,"RB127","12","2 out of 5 stars","-"
"475",14,"Adam Trautman",DEN,"TE68","12","3 out of 5 stars","-"
"476",14,"Charlie Woerner",ATL,"TE69","5","3 out of 5 stars","-"
"477",14,"Tyson Bagent",CHI,"QB58","5","2 out of 5 stars","-"
"478",14,"Thomas Fidone II",NYG,"TE70","14","2 out of 5 stars","-"
"479",14,"Michael Carter",ARI,"RB128","8","3 out of 5 stars","-"
"480",14,"Marcus Yarns",NO,"RB129","11","4 out of 5 stars","-"
"481",14,"Andy Dalton",CAR,"QB59","14","3 out of 5 stars","-"
"482",14,"Sione Vaki",DET,"RB130","8","2 out of 5 stars","-"
"483",14,"John Bates",WAS,"TE71","12","3 out of 5 stars","-"
"484",14,"Quinn Ewers",MIA,"QB60","12","5 out of 5 stars","-"
"485",14,"Julian Hill",MIA,"TE72","12","3 out of 5 stars","-"
"486",14,"Matthew Wright",CAR,"K31","14","2 out of 5 stars","-"
"487",14,"Jeff Wilson Jr.",SF,"RB131","14","3 out of 5 stars","-"
"488",14,"K.J. Osborn",WAS,"WR162","12","3 out of 5 stars","-"
"489",14,"David Moore",CAR,"WR163","14","4 out of 5 stars","-"
"490",14,"Andy Borregales",NE,"K32","14","4 out of 5 stars","-"
"491",14,"Mitchell Tinsley",CIN,"WR164","10","3 out of 5 stars","-149"
"492",14,"Dylan Laube",LV,"RB132","8","2 out of 5 stars","-"
"493",14,"Nick Mullens",JAC,"QB61","8","3 out of 5 stars","-"
"494",14,"Payne Durham",TB,"TE73","9","3 out of 5 stars","-"
"495",14,"Harrison Bryant",HOU,"TE74","6","3 out of 5 stars","-"
"496",14,"Skyy Moore",SF,"WR165","14","4 out of 5 stars","-"
"497",14,"Hassan Haskins",LAC,"RB133","12","2 out of 5 stars","-"
"498",14,"Davis Mills",HOU,"QB62","6","3 out of 5 stars","-"
"499",14,"Rasheen Ali",BAL,"RB134","7","4 out of 5 stars","-"
"500",14,"Derius Davis",LAC,"WR166","12","3 out of 5 stars","-"
"501",14,"Brock Wright",DET,"TE75","8","3 out of 5 stars","-"
"502",14,"Jaydn Ott",FA,"RB135","-","-","-"
"503",14,"Joey Slye",TEN,"K33","10","3 out of 5 stars","-"
"504",14,"Kylen Granson",PHI,"TE76","9","3 out of 5 stars","-"
"505",14,"David Bell",CLE,"WR167","9","2 out of 5 stars","-"
"506",14,"Cedrick Wilson Jr.",NO,"WR168","11","4 out of 5 stars","-"
"507",14,"Jarrett Stidham",DEN,"QB63","12","4 out of 5 stars","-"
"508",14,"Tylan Wallace",BAL,"WR169","7","3 out of 5 stars","-"
"509",14,"Luke Farrell",SF,"TE77","14","3 out of 5 stars","-"
"510",14,"Joshua Dobbs",NE,"QB64","14","5 out of 5 stars","-"
"511",14,"C.J. Ham",MIN,"RB136","6","3 out of 5 stars","-"
"512",14,"Trent Sherfield Sr.",DEN,"WR170","12","3 out of 5 stars","-"
"513",14,"Simi Fehoko",ARI,"WR171","8","4 out of 5 stars","-"
"514",14,"Michael Burton",DEN,"RB137","12","2 out of 5 stars","-"
"515",14,"Will Howard",PIT,"QB65","5","4 out of 5 stars","-"
"516",14,"Drew Lock",SEA,"QB66","8","4 out of 5 stars","-"
"517",14,"Hunter Long",JAC,"TE78","8","3 out of 5 stars","-"
"518",14,"Trey Lance",LAC,"QB67","12","3 out of 5 stars","-"
"519",14,"Patrick Ricard",BAL,"RB138","7","4 out of 5 stars","-"
"520",14,"Scotty Miller",PIT,"WR172","5","4 out of 5 stars","-"
"521",14,"Jase McClellan",TB,"RB139","9","3 out of 5 stars","-"
"522",14,"Drew Sample",CIN,"TE79","10","2 out of 5 stars","-"
"523",14,"Luke Lachey",HOU,"TE80","6","3 out of 5 stars","-"
"524",14,"Ezekiel Elliott",FA,"RB140","-","-","-"
"525",14,"Ian Thomas",LV,"TE81","8","2 out of 5 stars","-"
"526",14,"Kyle Trask",TB,"QB68","9","2 out of 5 stars","-"
"527",15,"DeeJay Dallas",ARI,"RB141","8","3 out of 5 stars","-"
"528",15,"Corey Kiner",SF,"RB142","14","3 out of 5 stars","-"
"529",15,"Konata Mumpfield",LAR,"WR173","8","3 out of 5 stars","-"
"530",15,"Hunter Luepke",DAL,"RB143","10","2 out of 5 stars","-"
"531",15,"Bub Means",NO,"WR174","11","4 out of 5 stars","-"
"532",15,"Nick Nash",ATL,"WR175","5","3 out of 5 stars","-"
"533",15,"Tommy Mellott",LV,"QB69","8","3 out of 5 stars","-"
"534",15,"Beaux Collins",NYG,"WR176","14","2 out of 5 stars","-"
"535",15,"Russell Gage Jr.",SF,"WR177","14","4 out of 5 stars","-"
"536",15,"Eric Gray",NYG,"RB144","14","3 out of 5 stars","-"
"537",15,"DJ Chark Jr.",FA,"WR178","-","-","-"
"538",15,"Mitchell Trubisky",BUF,"QB70","7","4 out of 5 stars","-"
"539",15,"Sterling Shepard",TB,"WR179","9","3 out of 5 stars","-"
"540",15,"Eric Saubert",SEA,"TE82","8","4 out of 5 stars","-"
"541",15,"Hendon Hooker",DET,"QB71","8","2 out of 5 stars","-"
"542",15,"Charlie Kolar",BAL,"TE83","7","3 out of 5 stars","-"
"543",15,"DeAndre Carter",CLE,"WR180","9","2 out of 5 stars","-"
"544",15,"Ainias Smith",PHI,"WR181","9","3 out of 5 stars","-"
"545",15,"Mac Jones",SF,"QB72","14","4 out of 5 stars","-"
"546",15,"Velus Jones Jr.",NO,"WR182","11","4 out of 5 stars","-"
"547",15,"Robbie Ouzts",SEA,"TE84","8","4 out of 5 stars","-"
"548",15,"Mo Alie-Cox",IND,"TE85","11","3 out of 5 stars","-"
"549",15,"Dalvin Cook",FA,"RB145","-","-","-"
"550",15,"Charlie Jones",CIN,"WR183","10","3 out of 5 stars","-"
"551",15,"John Stephens Jr.",DAL,"WR184","10","2 out of 5 stars","-"
"552",15,"Ricky White III",SEA,"WR185","8","3 out of 5 stars","-"
"553",15,"Ben Skowronek",PIT,"WR186","5","4 out of 5 stars","-"
"554",15,"Pharaoh Brown",MIA,"TE86","12","3 out of 5 stars","-"
"555",15,"Taylor Heinicke",LAC,"QB73","12","3 out of 5 stars","-"
"556",15,"Jalen Brooks",DAL,"WR187","10","2 out of 5 stars","-"
"557",15,"Ross Dwelley",FA,"TE87","-","-","-"
"558",15,"Travis Homer",CHI,"RB146","5","3 out of 5 stars","-"
"559",15,"Ronnie Rivers",LAR,"RB147","8","3 out of 5 stars","-"
"560",15,"Lucas Krull",DEN,"TE88","12","3 out of 5 stars","-"
"561",15,"Michael Bennett",FA,"WR188","-","-","-"
"562",15,"Brevyn Spann-Ford",DAL,"TE89","10","2 out of 5 stars","-"
"563",15,"Robert Tonyan",KC,"TE90","10","3 out of 5 stars","-"
"564",15,"Durham Smythe",CHI,"TE91","5","4 out of 5 stars","-"
"565",15,"Michael Wiley",KC,"RB148","10","2 out of 5 stars","-"
"566",15,"Terrace Marshall Jr.",PHI,"WR189","9","3 out of 5 stars","-"
"567",15,"Jackson Hawes",BUF,"TE92","7","3 out of 5 stars","-"
"568",15,"Jelani Woods",IND,"TE93","11","3 out of 5 stars","-"
"569",15,"Frank Gore Jr.",BUF,"RB149","7","4 out of 5 stars","-"
"570",15,"Jared Wiley",KC,"TE94","10","3 out of 5 stars","-"
"571",15,"Jakob Johnson",HOU,"RB150","6","2 out of 5 stars","-"
"572",15,"Cole Turner",WAS,"TE95","12","3 out of 5 stars","-"
"573",15,"Michael Woods II",FA,"WR190","-","-","-"
"574",15,"Troy Hairston II",FA,"RB151","-","-","-"
"575",15,"Teagan Quitoriano",ATL,"TE96","5","3 out of 5 stars","-"
"576",15,"Keaontay Ingram",KC,"RB152","10","2 out of 5 stars","-"
"577",16,"Kyle Allen",DET,"QB74","8","2 out of 5 stars","-"
"578",16,"Israel Abanikanda",GB,"RB153","5","4 out of 5 stars","-"
"579",16,"Jawhar Jordan",HOU,"RB154","6","2 out of 5 stars","-"
"580",16,"Tim Jones",MIN,"WR191","6","2 out of 5 stars","-"
"581",16,"Bo Melton",GB,"WR192","5","2 out of 5 stars","-"